@relation 'NSL-KDD-completo-weka.filters.unsupervised.attribute.Remove-V-R4-6,12,26,29-30,37,42'

@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute logged_in numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute classe {normal,ataque}

@data
SF,491,0,0,0,1,0,0,normal
SF,146,0,0,0,0.08,0.15,0,normal
S0,0,0,0,1,0.05,0.07,0,ataque
SF,232,8153,1,0.2,1,0,0.04,normal
SF,199,420,1,0,1,0,0,normal
REJ,0,0,0,0,0.16,0.06,0,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
S0,0,0,0,1,0.14,0.06,0,ataque
S0,0,0,0,1,0.09,0.05,0,ataque
S0,0,0,0,1,0.06,0.06,0,ataque
REJ,0,0,0,0,0.06,0.06,0,ataque
S0,0,0,0,1,0.02,0.06,0,ataque
SF,287,2251,1,0,1,0,0.03,normal
SF,334,0,1,0,1,0,0.2,ataque
S0,0,0,0,1,0,0.06,0,ataque
S0,0,0,0,1,0.17,0.05,0,ataque
SF,300,13788,1,0.11,1,0,0.02,normal
SF,18,0,0,0,1,0,1,ataque
SF,233,616,1,0,1,0,0.03,normal
SF,343,1178,1,0,1,0,0.04,normal
S0,0,0,0,1,0.1,0.05,0,ataque
S0,0,0,0,1,0.06,0.05,0,ataque
SF,253,11905,1,0,1,0,0.02,normal
SF,147,105,0,0,1,0,0,normal
S0,0,0,0,1,0.01,0.06,0,ataque
SF,437,14421,1,0,1,0,0,normal
S0,0,0,0,1,0.03,0.06,0,ataque
SF,227,6588,1,0,1,0,0.14,normal
SF,215,10499,1,0,1,0,0,normal
SF,241,1400,1,0,1,0,0,normal
SF,8,0,0,0,1,0,0.51,ataque
S0,0,0,0,1,0.28,0.07,0,ataque
SF,303,555,1,0,1,0,0.01,normal
REJ,0,0,0,0,0.5,1,0,ataque
SF,45,45,0,0,1,0,0,normal
SF,105,147,0,0,1,0,0,normal
SF,43,43,0,0,1,0,0,normal
S0,0,0,0,1,0.08,0.06,0,ataque
SF,324,2302,1,0,1,0,0,normal
S0,0,0,0,1,0.06,0.07,0,ataque
S0,0,0,0,1,0.22,0.08,0,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
SF,1591,372,1,0,1,0,0,normal
SF,146,105,0,0,0.5,0.5,0,normal
SF,290,3006,1,0,1,0,0,normal
S0,0,0,0,1,0.1,0.08,0,ataque
SF,28,0,0,0,1,0,0,ataque
SF,255,861,1,0.02,1,0,0,normal
SF,334,0,1,0,1,0,0.18,ataque
S0,0,0,0,1,0.07,0.05,0,ataque
SF,302,498,1,0,1,0,0.04,normal
REJ,0,0,0,0,0.07,0.1,0,ataque
SF,28,0,0,0,1,0,0,ataque
SF,220,1398,1,0,1,0,0.03,normal
SF,43,69,0,0,1,0,0,normal
SF,44,133,0,0,1,0,0.01,normal
SF,8,0,0,0,1,0,0.26,ataque
S0,0,0,0,1,0.07,0.06,0,ataque
S0,0,0,0,1,0.5,0.08,0,ataque
SF,43,43,0,0,1,0,0,normal
SF,641,0,1,0,1,0,0.04,normal
REJ,0,0,0,0,0.02,0.06,0,ataque
REJ,0,0,0,0,0.01,1,0,ataque
SF,310,2794,1,0,1,0,0,normal
REJ,0,0,0,0,0.16,0.08,0,ataque
SF,696,333,1,0,1,0,0.02,normal
RSTR,0,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.37,0.08,0,ataque
REJ,0,0,0,0,0.06,0.06,0,ataque
S0,0,0,0,1,0.12,0.06,0,ataque
SF,221,2878,1,0,1,0,0.03,normal
S0,0,0,0,1,0.11,0.06,0,ataque
SF,181,0,0,0,0.67,0.67,0,normal
SF,42,42,0,0,1,0,0,normal
S0,0,0,0,1,0.04,0.06,0,ataque
SF,12,0,1,0,1,0,0.04,normal
S0,0,0,0,1,0.03,0.06,0,ataque
SF,210,2790,1,0,1,0,0.09,normal
SF,321,5683,1,0,1,0,0.04,normal
REJ,0,0,0,0,0.03,0.06,0,ataque
SF,329,3982,1,0,1,0,0.05,normal
REJ,0,0,0,0,0.05,0.07,0,ataque
S0,0,0,0,1,0.09,0.05,0,ataque
SF,8,0,0,0,1,0,0.51,ataque
SF,320,379,1,0,1,0,0.02,normal
S0,0,0,0,1,0.03,0.05,0,ataque
SF,225,3762,1,0,1,0,0,normal
S0,0,0,0,1,0.05,0.06,0,ataque
REJ,0,0,0,0,0.11,0.05,0,ataque
SF,146,105,0,0,0.67,0.67,0,normal
SF,247,1416,1,0,1,0,0.09,normal
SF,353,1483,1,0,1,0,0,normal
SF,44,44,0,0,0.99,0.02,0,normal
REJ,0,0,0,0,0.12,0.05,0,ataque
S0,0,0,0,1,0.02,0.06,0,ataque
SF,3065,331,1,0,1,0,0.02,normal
SF,102,102,0,0,1,0,0,normal
SF,259,750,1,0,1,0,0.03,normal
SF,147,105,0,0,1,0,0,normal
S0,0,0,0,1,0.12,0.05,0,ataque
SF,0,354,0,0.03,1,0,0,normal
SF,309,306,1,0,1,0,0.02,normal
REJ,0,0,0,0,1,0,0.15,normal
SF,278,7227,1,0,1,0,0.05,normal
SF,28,0,0,0,1,0,0,ataque
SF,313,761,1,0,1,0,0.03,normal
SF,219,1212,1,0,1,0,0.01,normal
SF,245,9165,1,0,1,0,0.05,normal
SF,328,2243,1,0,1,0,0.04,normal
REJ,0,0,0,0,1,0,0.1,normal
SF,251,301,1,0,1,0,0,normal
SF,2089,335,1,0,0.5,1,0,normal
REJ,0,0,0,0,1,0,0.21,normal
SF,237,511,1,0,1,0,0.01,normal
SF,324,431,1,0,1,0,0.02,normal
RSTR,1,0,0,0,1,0,0,ataque
REJ,0,0,0,0,0.15,0.05,0,ataque
SF,105,145,0,0,0.25,0.5,0,normal
SF,218,974,1,0,1,0,0.02,normal
SF,325,2649,1,0,1,0,0.01,normal
REJ,0,0,0,0,0.08,0.07,0,ataque
REJ,0,0,0,0,0.07,0.07,0,ataque
S0,0,0,0,1,0.03,0.07,0,ataque
SF,328,275,1,0,1,0,0,normal
S0,0,0,0,1,0.02,0.05,0,ataque
SF,9,138,0,0,1,0,0.2,normal
SF,46,46,0,0,1,0,0,normal
SF,1079,334,1,0,1,0,0.01,normal
SF,45,139,0,0,1,0,0,normal
SF,273,903,1,0,1,0,0,normal
S0,0,0,0,1,0.11,0.06,0,ataque
REJ,0,0,0,0,0.04,0.06,0,ataque
SF,237,138,1,0,1,0,0,normal
SF,225,1357,1,0,1,0,0.02,normal
S0,0,0,0,1,0.06,0.06,0,ataque
S0,0,0,0,1,0.08,0.06,0,ataque
SF,147,0,0,0,0.33,0.67,0,normal
SF,262,1011,1,0,1,0,0.01,normal
SF,1032,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.12,0.06,0,ataque
SF,261,8412,1,0,1,0,0,normal
REJ,0,0,0,0,0.06,0.08,0,ataque
REJ,0,0,0,0,0.01,0.07,0,ataque
SF,294,1719,1,0,1,0,0.01,normal
SF,221,981,1,0,1,0,0.04,normal
SF,284,10352,1,0,1,0,0.07,normal
SH,0,0,0,1,1,0,0,ataque
SF,309,16096,1,0,1,0,0.02,normal
SF,334,0,1,0,1,0,0.19,ataque
S0,0,0,0,1,0.31,0.31,0,ataque
S0,0,0,0,1,0.01,0.07,0,ataque
SF,214,283,1,0,1,0,0.05,normal
S0,0,0,0,1,0.04,0.05,0,ataque
S0,0,0,0,1,0.06,0.05,0,ataque
S0,0,0,0,1,0.1,0.06,0,ataque
SF,46,78,0,0,1,0.01,0,normal
SF,748,0,1,0,1,0,0.03,normal
S0,0,0,0,1,0.19,0.06,0,ataque
SF,8,0,0,0,1,0,0.53,ataque
S0,0,0,0,1,0.01,0.07,0,ataque
SF,329,8437,1,0,1,0,0.04,normal
SF,9,0,1,0,1,0,0.02,normal
SF,46,128,0,0,1,0,0,normal
SF,1766,0,1,0,1,0,0,normal
S0,0,0,0,1,0.02,0.06,0,ataque
RSTR,1,0,0,0,1,0,0,ataque
SF,8,135,0,0,1,0,0.33,normal
SF,266,529,1,0,1,0,0.02,normal
SF,245,0,0,0,0.67,0.67,0.03,normal
SF,295,465,1,0,1,0,0.04,normal
S0,0,0,0,1,0.27,0.11,0,ataque
SF,228,6834,1,0,1,0,0.11,normal
SF,1032,0,0,0,1,0,0,ataque
